kepid,kepoi_name,ra,dec,koi_period,koi_prad,koi_disposition_pred
6369131,K04554.01,293.43478,41.716881,8.0772455,2.61,CONFIRMED
7820699,K04555.01,291.22043,43.574268,364.08733,1.39,FALSE POSITIVE
10257229,K04557.01,283.70471,47.385288,5.75651958,0.83,CONFIRMED
3539231,K04626.01,289.90417,38.651371,91.95723,2.66,CONFIRMED
6311891,K04627.01,298.75836,41.631031,7.51731745,1.19,CONFIRMED
7834045,K04630.01,295.59735,43.596401,44.6966177,2.46,CONFIRMED
10663738,K04698.01,291.12744,47.938801,8.5275894,1.28,FALSE POSITIVE
7891294,K04699.01,291.88797,43.649811,3.07714195,1.08,CONFIRMED
9413156,K04700.01,295.36145,45.914841,3.83488354,1.2,CONFIRMED
5431027,K04558.01,285.59543,40.679722,8.8233996,1.13,CONFIRMED
6070337,K04632.01,299.01312,41.329311,40.0691482,13.25,CONFIRMED
5954001,K04633.01,289.77954,41.214409,11.6933447,1.12,CONFIRMED
8196226,K04634.01,300.6496,44.05574,4.02745396,0.98,CONFIRMED
9002538,K03196.01,283.35046,45.339111,4.96061094,0.59,CONFIRMED
5642688,K04705.01,297.60236,40.803219,1.4733245,1.03,FALSE POSITIVE
5552562,K04495.01,296.77414,40.793282,5.93218209,1.39,CONFIRMED
6186182,K04496.01,284.68292,41.592411,96.384483,2.41,CONFIRMED
4073017,K07681.01,295.47382,39.124561,6.05552018,0.92,CONFIRMED
10585749,K04563.01,285.15942,47.88274,54.333582,1.7,CONFIRMED
9579208,K03165.01,287.6376,46.204411,4.11754421,1.02,CONFIRMED
9773270,K04636.01,292.98517,46.506569,122.749053,6.13,FALSE POSITIVE
9457728,K04637.01,288.59967,46.031712,4.37992345,0.81,CONFIRMED
2303903,K04709.01,291.64294,37.632408,3.70858595,1.33,CONFIRMED
9278216,K04710.01,290.7377,45.725368,9.4527721,1.3,CONFIRMED
8355131,K04711.01,287.50766,44.31424,4.3638313,1.08,CONFIRMED
12645057,K04497.01,289.26697,51.751221,6.83006228,1.09,CONFIRMED
4844367,K04498.01,294.22134,39.989521,17.1622587,22.42,CONFIRMED
10937749,K04499.01,298.78278,48.312809,5.19898615,1.04,CONFIRMED
8332521,K04567.01,301.56284,44.240391,14.74426,8.1,FALSE POSITIVE
4060229,K04570.01,292.35605,39.11945,35.0175053,2.13,CONFIRMED
8443527,K03197.01,296.29056,44.42326,22.599501,0.96,FALSE POSITIVE
10907132,K04503.01,284.6134,48.37347,5.89089509,1.54,CONFIRMED
6520753,K04504.01,291.2941,41.91283,4.13029832,1.44,FALSE POSITIVE
9893468,K04575.01,292.93643,46.753021,201.325036,1.98,CONFIRMED
11655826,K04643.01,288.44839,49.714031,5.59346375,1.43,FALSE POSITIVE
1721157,K04644.01,291.45734,37.206841,3.44928111,1.23,CONFIRMED
9947653,K04647.01,290.25931,46.885109,37.9043889,1.97,CONFIRMED
9002538,K03196.02,283.35046,45.339111,6.88297756,0.77,CONFIRMED
5253802,K04713.01,283.83884,40.421974,8.7963166,1.36,FALSE POSITIVE
12554634,K04714.01,289.18149,51.562538,2.049602348,1.08,FALSE POSITIVE
6264750,K04715.01,283.57269,41.695728,53.285584,1.44,CONFIRMED
11290515,K04716.01,288.34488,49.021938,5.8943338,0.61,CONFIRMED
6520753,K04504.02,291.2941,41.91283,8.119343,1.5,FALSE POSITIVE
8493354,K04505.01,291.09943,44.545689,18.0071438,1.05,CONFIRMED
5457326,K04508.01,294.3735,40.65144,2.49915311,1.02,CONFIRMED
10610039,K04577.01,295.6709,47.830399,105.997107,1.83,CONFIRMED
8628761,K04580.01,293.37381,44.727982,6.30432354,1.23,FALSE POSITIVE
4750669,K04649.01,292.96661,39.899639,3.38419892,1.2,CONFIRMED
6717252,K04651.01,298.08716,42.164349,1.19260017,0.77,FALSE POSITIVE
4902202,K04717.01,283.69351,40.018021,216.456055,3.61,CONFIRMED
11350118,K04509.01,291.69516,49.187859,12.003678,0.97,CONFIRMED
