kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff1,koi_ldm_coeff2,koi_parm_prov,koi_period_err1,koi_period_err2,koi_time0bk_err1,koi_time0bk_err2,koi_impact_err1,koi_impact_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_srho_err1,koi_srho_err2,koi_prad_err1,koi_prad_err2,koi_dor_err1,koi_dor_err2,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sparprov,koi_steff_err1,koi_steff_err2,koi_slogg_err1,koi_slogg_err2,koi_smet_err1,koi_smet_err2,koi_srad_err1,koi_srad_err2,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,ra_err,dec_err,koi_kepmag_err,koi_gmag_err,koi_rmag_err,koi_imag_err,koi_zmag_err,koi_jmag_err,koi_hmag_err,koi_kmag_err,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_fwm_stat_sig,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6221385,K06145.01,CONFIRMED,19.672324,134.3013,2454967.301,0.721,4.812,649.9,0.025068,0.57811,LS+MCMC,4.07,0.1473,88.19,908.0,160.98,22.8,0.2893,0.3105,q1_q17_dr25_koi,0.001116,-0.001116,0.0692,-0.0692,0.01,-0.538,0.181,-0.181,33.9,-33.9,0.004239,-0.001624,1.06951,-0.04438,1.1,-1.11,10.5,-10.5,6.815406,13.204513,20.6,3,8.0,6486.0,4.136,-0.34,1.485,1.098,q1_q17_dr25_stellar,181.0,-227.0,0.246,-0.164,0.25,-0.3,0.402,-0.402,0.177,-0.145,296.35944,41.574532,14.263,14.682,14.261,14.083,14.059,13.161,12.862,12.735,0.0,0.0,,,,,,0.022,0.022,0.028,19.757281,41.57452,-0.6,-0.02,,,,-0.357,0.44,0.56,-0.22,0.45,0.5
6221385,K06145.02,CONFIRMED,32.657035,152.881,2454985.881,0.007,5.953,620.4,0.023004,1.39791,LS+MCMC,3.73,0.2065,89.99,767.0,81.91,42.87,0.2893,0.3105,q1_q17_dr25_koi,0.003033,-0.003033,0.114,-0.114,0.431,-0.007,0.239,-0.239,37.1,-37.1,0.001081,-0.00067,0.12843,-0.52554,1.01,-1.01,3.9,-3.9,7.182893,13.629135,17.9,3,5.0,6486.0,4.136,-0.34,1.485,1.098,q1_q17_dr25_stellar,181.0,-227.0,0.246,-0.164,0.25,-0.3,0.402,-0.402,0.177,-0.145,296.35944,41.574532,14.263,14.682,14.261,14.083,14.059,13.161,12.862,12.735,0.0,0.0,,,,,,0.022,0.022,0.028,19.757293,41.5745,-0.12,-0.1,,,,-0.09,-0.22,0.24,0.02,-0.22,0.22
6221385,K06145.03,CANDIDATE,7.3138454,137.561,2454970.561,0.893,2.273,247.7,0.016831,0.6099,LS+MCMC,2.73,0.0762,85.73,1263.0,601.53,11.99,0.2893,0.3105,q1_q17_dr25_koi,0.0006871,-0.0006871,0.118,-0.118,0.026,-0.61,0.266,-0.266,30.7,-30.7,0.002878,-0.002751,5.58739,-0.45772,0.74,-0.74,5.8,-5.8,2.9491143,8.173571,9.2,3,23.0,6486.0,4.136,-0.34,1.485,1.098,q1_q17_dr25_stellar,181.0,-227.0,0.246,-0.164,0.25,-0.3,0.402,-0.402,0.177,-0.145,296.35944,41.574532,14.263,14.682,14.261,14.083,14.059,13.161,12.862,12.735,0.0,0.0,,,,,,0.022,0.022,0.028,19.757352,41.5747,2.3,0.6,,,,-0.01,-0.04,0.04,0.09,-0.02,0.09
6362386,K06146.01,FALSE POSITIVE,4.592401261,133.139791,2454966.14,0.272,4.96038,87426.1,0.277148,0.62378,LS+MCMC,52.18,0.0618,88.24,1678.0,1872.74,8.8597,0.2394,0.3342,q1_q17_dr25_koi,1.12e-07,-1.12e-07,1.98e-05,-1.98e-05,0.002,-0.002,0.00157,-0.00157,18.3,-18.3,4.6e-05,-5.1e-05,0.00095,-0.00147,16.52,-11.02,0.0135,-0.0135,1644.8485,11840.263,5784.8,1,298.0,7201.0,4.138,-0.08,1.724,1.488,q1_q17_dr25_stellar,228.0,-314.0,0.132,-0.198,0.25,-0.35,0.546,-0.364,0.218,-0.239,291.26416,41.74884,12.93,13.097,12.874,12.877,12.885,12.118,11.945,11.878,0.0,0.0,,,,,,0.022,0.024,0.022,19.417611676,41.74885872,0.03934,0.06741,0.0051,,,-0.019,0.014,0.023,0.033,-0.007,0.034
8260269,K07877.01,FALSE POSITIVE,6.70995253,134.02352,2454967.024,0.616,2.297,86.0,0.008908,2.3894,LS+MCMC,1.1,0.0732,88.02,1120.0,372.31,17.85,0.2947,0.3103,q1_q17_dr25_koi,5.509e-05,-5.509e-05,0.0063,-0.0063,0.349,-0.404,0.2,-0.2,10.3,-10.3,0.000261,-0.000917,3.14238,-0.4096,0.33,-0.14,7.8,-7.8,3.8515794,8.125563,9.8,1,201.0,6461.0,4.396,-0.14,1.131,1.162,q1_q17_dr25_stellar,145.0,-193.0,0.065,-0.195,0.25,-0.3,0.339,-0.145,0.168,-0.152,299.79675,44.163071,13.872,14.209,13.823,13.728,13.689,12.894,12.621,12.608,0.0,0.0,,,,,,0.032,0.035,0.026,19.986555,44.16409,4.02,3.7,,7e-05,,0.21,-0.9,0.9,4.14,7.1,8.2
6449358,K06147.01,FALSE POSITIVE,5.776794344,133.6275034,2454966.628,0.366,6.33505,121544.0,0.328562,0.40438,LS+MCMC,129.2,0.0814,87.65,2249.0,6048.96,8.93515,0.2889,0.2989,q1_q17_dr25_koi,1.3e-07,-1.3e-07,1.84e-05,-1.84e-05,0.001,-0.001,0.00134,-0.00134,18.9,-18.9,3e-05,-5.2e-05,0.00038,-0.0005,26.01,-56.37,0.0084,-0.0084,4871.0435,24308.674,8022.8,1,234.0,7666.0,3.658,0.24,3.601,2.153,q1_q17_dr25_stellar,212.0,-334.0,0.432,-0.108,0.1,-0.4,0.725,-1.571,0.276,-0.512,293.89642,41.831772,11.61,11.723,11.572,11.599,11.628,10.949,10.842,10.788,0.0,0.0,,,,,,0.021,0.019,0.019,19.593091917,41.83176564,-0.0838,-0.01569,-0.0054,0.0,0.0,0.007,0.029,0.03,-0.02,0.075,0.077
6593968,K06148.01,FALSE POSITIVE,23.19923256,146.6907294,2454979.691,,2.09,,,,none,,,,,,,,,q1_q16_koi,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,287.91104,42.014042,15.778,16.858,15.728,15.315,15.027,13.926,13.229,13.119,0.0,0.0,,,,,,0.021,0.029,0.03,19.194108,42.01328,1.5,-2.7,-0.00053,0.0011,0.003,0.22,-0.2,0.3,0.2,-0.2,0.3
6674908,K06149.01,FALSE POSITIVE,0.503199724,131.90627,2454964.906,0.492,1.117,275.6,0.015451,2.30804,LS+MCMC,1.06,0.0106,80.97,1363.0,819.89,3.14,0.6858,0.069,q1_q17_dr25_koi,2.677e-06,-2.677e-06,0.00457,-0.00457,0.477,-0.294,0.187,-0.187,36.9,-36.9,0.000878,-0.001739,2.00428,-2.17948,0.05,-0.11,1.4,-1.4,10.248591,36.27747,10.1,1,2656.0,4013.0,4.639,0.26,0.63,0.63,q1_q17_dr25_stellar,140.0,-154.0,0.053,-0.021,0.2,-0.3,0.029,-0.064,0.042,-0.061,286.1767,42.196529,14.155,15.623,14.304,13.526,13.089,11.817,11.141,10.939,0.0,0.0,,,,,,0.025,0.023,0.013,19.0804072,42.177618,78.46,-68.08,,,,6.621,-6.742,9.449,6.751,-6.502,9.373
11516930,K06240.01,FALSE POSITIVE,4.768540307,133.8648842,2454966.865,0.806,0.9938,347.6,0.019024,9.9501,LS,1.84,0.051,87.98,1010.0,246.11,22.868989,0.421,0.2521,q1_q17_dr25_koi,,,,,,,,,,,0.0,0.0,0.0,0.0,0.49,-0.28,,,4.0870533,15.929204,4.0,1,281.0,5491.0,4.432,-0.3,0.887,0.776,q1_q17_dr25_stellar,164.0,-164.0,0.13,-0.222,0.35,-0.3,0.235,-0.137,0.126,-0.054,296.20621,49.47205,14.189,14.787,14.149,13.933,13.839,12.868,12.469,12.393,0.0,0.0,,,,,,0.022,0.024,0.024,19.747132,49.47004,1.79,-7.22,-0.00046,0.00233,0.0,1.632,-4.39,4.69,1.623,-4.5,4.78
11558882,K06241.01,FALSE POSITIVE,73.91858615,154.696798,2454987.697,1.137,6.9735,184074.0,0.779419,4.7136,LS+MCMC,89.96,0.3487,89.41,484.0,12.95,110.83,0.3071,0.3058,q1_q17_dr25_koi,2.302e-05,-2.302e-05,0.000291,-0.000291,0.073,-0.109,0.0201,-0.0201,260.0,-260.0,0.058432,-0.094288,0.19272,-0.36842,29.71,-11.91,4.5,-4.5,959.42725,2830.888,933.5,1,19.0,6300.0,4.404,-0.26,1.057,1.028,q1_q17_dr25_stellar,169.0,-225.0,0.084,-0.21,0.25,-0.3,0.349,-0.14,0.158,-0.115,291.73993,49.570808,15.401,15.814,15.361,15.224,15.17,14.262,14.003,13.952,0.0,0.0,,,,,,0.029,0.036,0.066,19.44932807,49.5707696,0.0026,-0.1456,0.07,-0.08,0.0,-0.095,0.106,0.143,-0.08,-0.041,0.09
